load,algorithm,overall_max_per_flow,total_reorders
0.3,DT,53,5656
0.3,ABM,44,11180
0.3,OBM,32,2501
0.3,LQD,54,5639
0.6,DT,54,30885
0.6,ABM,48,57160
0.6,OBM,48,18911
0.6,LQD,52,30901
0.9,DT,51,75547
0.9,ABM,49,119967
0.9,OBM,43,50381
0.9,LQD,52,73865
