queueLength sharedOccupancy averageQueueLength averageOccupancy drop
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
1 1 0.0645 0.0645 0
1 1 0.1249 0.1249 0
2 2 0.2458 0.2458 0
2 2 0.359 0.359 0
3 3 0.5294 0.5294 0
3 3 0.6888 0.6888 0
4 4 0.9024 0.9024 0
4 4 1.1023 1.1023 0
5 5 1.3537 1.3537 0
5 5 1.589 1.589 0
6 6 1.8736 1.8736 0
6 6 2.1398 2.1398 0
7 7 2.4533 2.4533 0
7 7 2.7467 2.7467 0
8 8 3.0856 3.0856 0
8 8 3.4027 3.4027 0
9 9 3.7638 3.7638 0
9 9 4.1016 4.1016 0
10 10 4.4821 4.4821 0
10 10 4.8381 4.8381 0
11 11 5.2357 5.2357 0
11 11 5.6076 5.6076 0
12 12 6.02 6.02 0
12 12 6.4058 6.4058 0
13 13 6.8312 6.8312 0
13 13 7.2292 7.2292 0
14 14 7.666 7.666 0
14 14 8.0747 8.0747 0
15 15 8.5215 8.5215 0
15 15 8.9394 8.9394 0
16 16 9.395 9.395 0
16 16 9.8211 9.8211 0
17 17 10.2842 10.2842 0
17 17 10.7175 10.7175 0
18 18 11.1874 11.1874 0
18 18 11.6269 11.6269 0
19 19 12.1026 12.1026 0
19 19 12.5476 12.5476 0
20 20 13.0284 13.0284 0
20 20 13.4781 13.4781 0
21 21 13.9634 13.9634 0
21 21 14.4174 14.4174 0
22 22 14.9066 14.9066 0
22 22 15.3642 15.3642 0
23 23 15.8569 15.8569 0
23 23 16.3177 16.3177 0
24 24 16.8133 16.8133 0
24 24 17.277 17.277 0
25 25 17.7753 17.7753 0
25 25 18.2414 18.2414 0
26 26 18.7419 18.7419 0
26 26 19.2102 19.2102 0
27 27 19.7128 19.7128 0
27 27 20.1829 20.1829 0
28 28 20.6872 20.6872 0
28 28 21.159 21.159 0
29 29 21.6649 21.6649 0
29 29 22.1381 22.1381 0
30 30 22.6453 22.6453 0
30 30 23.1198 23.1198 0
31 31 23.6282 23.6282 0
31 31 24.1038 24.1038 0
32 32 24.6133 24.6133 0
32 32 25.0898 25.0898 0
33 33 25.6002 25.6002 0
33 33 26.0776 26.0776 0
34 34 26.5887 26.5887 0
34 34 27.0668 27.0668 0
35 35 27.5787 27.5787 0
35 35 28.0575 28.0575 0
36 36 28.5699 28.5699 0
36 36 29.0492 29.0492 0
37 37 29.5622 29.5622 0
37 37 30.0421 30.0421 0
38 38 30.5555 30.5555 0
38 38 31.0358 31.0358 0
39 39 31.5496 31.5496 0
39 39 32.0303 32.0303 0
40 40 32.5444 32.5444 0
40 40 33.0254 33.0254 0
41 41 33.5399 33.5399 0
41 41 34.0212 34.0212 0
42 42 34.536 34.536 0
42 42 35.0175 35.0175 0
43 43 35.5325 35.5325 0
43 43 36.0143 36.0143 0
44 44 36.5295 36.5295 0
44 44 37.0115 37.0115 0
45 45 37.5269 37.5269 1
44 44 37.9445 37.9445 0
45 45 38.3997 38.3997 1
44 44 38.761 38.761 0
45 45 39.1635 39.1635 1
44 44 39.4755 39.4755 0
45 45 39.832 39.832 1
44 44 40.1009 40.1009 0
45 45 40.4169 40.4169 1
44 44 40.6481 40.6481 0
35 35 40.2837 40.2837 0
35 35 39.9428 39.9428 0
35 35 39.6239 39.6239 0
35 35 39.3256 39.3256 0
35 35 39.0465 39.0465 0
35 35 38.7855 38.7855 0
34 34 38.4767 38.4767 0
33 33 38.1234 38.1234 0
32 32 37.7283 37.7283 0
31 31 37.2943 37.2943 0
30 30 36.8237 36.8237 0
29 29 36.3189 36.3189 0
28 28 35.7822 35.7822 0
27 27 35.2156 35.2156 0
26 26 34.6211 34.6211 0
25 25 34.0003 34.0003 0
8 8 32.3229 32.3229 0
8 8 30.7537 30.7537 0
8 8 29.2857 29.2857 0
8 8 27.9124 27.9124 0
8 8 26.6278 26.6278 0
8 8 25.426 25.426 0
7 7 24.2372 24.2372 0
6 6 23.0606 23.0606 0
3 3 21.7664 21.7664 0
3 3 20.5556 20.5556 0
3 3 19.423 19.423 0
0 0 18.1699 18.1699 0
0 0 16.9977 16.9977 0
0 0 15.901 15.901 0
0 0 14.8752 14.8752 0
1 1 13.98 13.98 0
1 1 13.1426 13.1426 0
2 2 12.4237 12.4237 0
2 2 11.7512 11.7512 0
3 3 11.1866 11.1866 0
3 3 10.6584 10.6584 0
4 4 10.2289 10.2289 0
4 4 9.827 9.827 0
5 5 9.5156 9.5156 0
5 5 9.2243 9.2243 0
6 6 9.0162 9.0162 0
6 6 8.8216 8.8216 0
6 6 8.6396 8.6396 0
6 6 8.4693 8.4693 0
6 6 8.31 8.31 0
1 1 7.8384 7.8384 0
1 1 7.3972 7.3972 0
1 1 6.9845 6.9845 0
1 1 6.5984 6.5984 0
0 0 6.1727 6.1727 0
0 0 5.7744 5.7744 0
0 0 5.4019 5.4019 0
0 0 5.0534 5.0534 0
0 0 4.7274 4.7274 0
0 0 4.4224 4.4224 0
0 0 4.1371 4.1371 0
0 0 3.8701 3.8701 0
0 0 3.6205 3.6205 0
0 0 3.3869 3.3869 0
0 0 3.1684 3.1684 0
0 0 2.964 2.964 0
0 0 2.7727 2.7727 0
0 0 2.5939 2.5939 0
0 0 2.4265 2.4265 0
0 0 2.27 2.27 0
0 0 2.1235 2.1235 0
0 0 1.9865 1.9865 0
0 0 1.8583 1.8583 0
0 0 1.7385 1.7385 0
0 0 1.6263 1.6263 0
0 0 1.5214 1.5214 0
0 0 1.4232 1.4232 0
0 0 1.3314 1.3314 0
0 0 1.2455 1.2455 0
0 0 1.1651 1.1651 0
0 0 1.09 1.09 0
0 0 1.0197 1.0197 0
0 0 0.9539 0.9539 0
0 0 0.8923 0.8923 0
0 0 0.8348 0.8348 0
0 0 0.7809 0.7809 0
0 0 0.7305 0.7305 0
0 0 0.6834 0.6834 0
0 0 0.6393 0.6393 0
0 0 0.5981 0.5981 0
0 0 0.5595 0.5595 0
0 0 0.5234 0.5234 0
0 0 0.4896 0.4896 0
0 0 0.458 0.458 0
0 0 0.4285 0.4285 0
0 0 0.4008 0.4008 0
0 0 0.375 0.375 0
0 0 0.3508 0.3508 0
0 0 0.3281 0.3281 0
0 0 0.307 0.307 0
0 0 0.2872 0.2872 0
0 0 0.2686 0.2686 0
0 0 0.2513 0.2513 0
0 0 0.2351 0.2351 0
0 0 0.2199 0.2199 0
0 0 0.2057 0.2057 0
0 0 0.1925 0.1925 0
0 0 0.1801 0.1801 0
0 0 0.1684 0.1684 0
0 0 0.1576 0.1576 0
0 0 0.1474 0.1474 0
0 0 0.1379 0.1379 0
0 0 0.129 0.129 0
0 0 0.1207 0.1207 0
0 0 0.1129 0.1129 0
0 0 0.1056 0.1056 0
0 0 0.0988 0.0988 0
0 1 0.0924 0.1569 0
0 0 0.0865 0.1468 0
0 1 0.0809 0.2019 0
0 0 0.0757 0.1888 0
0 1 0.0708 0.2412 0
0 0 0.0662 0.2256 0
