queueLength sharedOccupancy averageQueueLength averageOccupancy drop
0 0 0.0 0.0 0
0 0 0.0 0.0 0
1 1 0.0645 0.0645 0
2 2 0.1894 0.1894 0
2 2 0.3062 0.3062 0
3 3 0.48 0.48 0
3 3 0.6426 0.6426 0
4 4 0.8592 0.8592 0
5 5 1.1263 1.1263 0
5 5 1.3762 1.3762 0
6 6 1.6746 1.6746 0
7 7 2.0181 2.0181 0
8 8 2.4041 2.4041 0
8 8 2.7651 2.7651 0
9 9 3.1673 3.1673 0
9 9 3.5436 3.5436 0
10 10 3.9602 3.9602 0
11 11 4.4144 4.4144 0
11 11 4.8392 4.8392 0
12 12 5.3012 5.3012 0
13 13 5.7979 5.7979 0
13 13 6.2626 6.2626 0
14 14 6.7618 6.7618 0
15 15 7.2933 7.2933 0
15 15 7.7905 7.7905 0
16 16 8.3201 8.3201 0
17 17 8.8801 8.8801 0
17 17 9.404 9.404 0
18 18 9.9586 9.9586 0
19 19 10.5419 10.5419 0
19 19 11.0876 11.0876 0
20 20 11.6626 11.6626 0
21 21 12.265 12.265 0
21 21 12.8285 12.8285 0
22 22 13.4202 13.4202 0
23 23 14.0383 14.0383 0
23 23 14.6165 14.6165 0
24 24 15.2218 15.2218 0
25 25 15.8527 15.8527 0
26 26 16.5074 16.5074 0
26 26 17.1198 17.1198 0
27 27 17.7572 17.7572 1
26 26 18.289 18.289 0
27 27 18.851 18.851 1
27 27 19.3768 19.3768 1
26 26 19.8041 19.8041 0
27 27 20.2683 20.2683 1
27 27 20.7026 20.7026 1
26 26 21.0444 21.0444 0
27 27 21.4286 21.4286 1
27 27 21.7881 21.7881 1
26 26 22.0598 22.0598 0
27 27 22.3785 22.3785 1
27 27 22.6767 22.6767 1
26 26 22.8911 22.8911 0
27 27 23.1562 23.1562 1
27 27 23.4042 23.4042 1
26 26 23.5716 23.5716 0
27 27 23.7928 23.7928 1
27 27 23.9997 23.9997 1
26 26 24.1288 24.1288 0
27 27 24.314 24.314 1
27 27 24.4873 24.4873 1
26 26 24.5849 24.5849 0
27 27 24.7407 24.7407 1
27 27 24.8865 24.8865 1
26 26 24.9583 24.9583 0
27 27 25.09 25.09 1
27 27 25.2133 25.2133 1
26 26 25.264 25.264 0
27 27 25.376 25.376 1
27 27 25.4808 25.4808 1
26 26 25.5143 25.5143 0
27 27 25.6101 25.6101 1
27 27 25.6998 25.6998 1
26 26 25.7192 25.7192 0
27 27 25.8018 25.8018 1
27 27 25.8791 25.8791 1
26 26 25.8869 25.8869 0
27 27 25.9587 25.9587 1
27 27 26.0259 26.0259 1
26 26 26.0242 26.0242 0
27 27 26.0872 26.0872 1
27 27 26.1461 26.1461 1
26 26 26.1367 26.1367 0
27 27 26.1924 26.1924 1
27 27 26.2445 26.2445 1
26 26 26.2287 26.2287 0
27 27 26.2784 26.2784 1
27 27 26.325 26.325 1
26 26 26.304 26.304 0
27 27 26.3489 26.3489 1
27 27 26.3909 26.3909 1
26 26 26.3657 26.3657 0
27 27 26.4066 26.4066 1
27 27 26.4449 26.4449 1
26 26 26.4162 26.4162 0
27 27 26.4539 26.4539 1
27 27 26.4891 26.4891 1
26 26 26.4576 26.4576 0
27 27 26.4926 26.4926 1
27 27 26.5253 26.5253 1
26 26 26.4914 26.4914 0
27 27 26.5242 26.5242 1
27 27 26.5549 26.5549 1
26 26 26.5191 26.5191 0
27 27 26.5501 26.5501 1
27 27 26.5792 26.5792 1
26 26 26.5418 26.5418 0
27 27 26.5714 26.5714 1
27 27 26.599 26.599 1
26 26 26.5604 26.5604 0
27 27 26.5887 26.5887 1
27 27 26.6153 26.6153 1
26 26 26.5756 26.5756 0
27 27 26.6029 26.6029 1
27 27 26.6286 26.6286 1
26 26 26.588 26.588 0
27 27 26.6146 26.6146 1
27 27 26.6395 26.6395 1
27 27 26.6627 26.6627 0
27 27 26.6845 26.6845 1
27 27 26.7048 26.7048 1
26 26 26.6594 26.6594 0
27 27 26.6813 26.6813 1
27 27 26.7019 26.7019 1
26 26 26.6566 26.6566 0
27 27 26.6788 26.6788 1
27 27 26.6995 26.6995 1
26 26 26.6544 26.6544 0
27 27 26.6767 26.6767 1
27 27 26.6975 26.6975 1
26 26 26.6525 26.6525 0
27 27 26.6749 26.6749 1
27 27 26.6959 26.6959 1
26 26 26.651 26.651 0
27 27 26.6735 26.6735 1
27 27 26.6946 26.6946 1
26 26 26.6498 26.6498 0
27 27 26.6724 26.6724 1
27 27 26.6935 26.6935 1
26 26 26.6488 26.6488 0
27 27 26.6714 26.6714 1
27 27 26.6926 26.6926 1
26 26 26.6479 26.6479 0
27 27 26.6707 26.6707 1
27 27 26.6919 26.6919 1
26 26 26.6473 26.6473 0
27 27 26.67 26.67 1
26 26 26.6268 26.6268 0
27 27 26.6509 26.6509 1
26 26 26.6089 26.6089 0
27 27 26.6341 26.6341 1
26 26 26.5932 26.5932 0
27 27 26.6194 26.6194 1
5 5 25.2246 25.2246 0
4 4 23.8553 23.8553 0
3 3 22.5098 22.5098 0
3 3 21.2511 21.2511 0
3 3 20.0736 20.0736 0
2 2 18.9076 18.9076 0
1 1 17.7523 17.7523 0
2 2 16.736 16.736 0
0 0 15.6562 15.6562 0
0 0 14.6462 14.6462 0
0 0 13.7012 13.7012 0
0 0 12.8173 12.8173 0
1 1 12.0549 12.0549 0
1 1 11.3417 11.3417 0
2 2 10.739 10.739 0
2 2 10.1752 10.1752 0
3 3 9.7123 9.7123 0
3 3 9.2792 9.2792 0
4 4 8.9386 8.9386 0
4 4 8.62 8.62 0
5 5 8.3864 8.3864 0
5 5 8.168 8.168 0
6 6 8.0281 8.0281 0
6 6 7.8973 7.8973 0
7 7 7.8394 7.8394 0
7 7 7.7852 7.7852 0
8 8 7.7991 7.7991 0
8 8 7.812 7.812 0
9 9 7.8887 7.8887 0
9 9 7.9604 7.9604 0
10 10 8.092 8.092 0
10 10 8.2151 8.2151 0
11 11 8.3947 8.3947 0
11 11 8.5628 8.5628 0
12 12 8.7846 8.7846 0
12 12 8.992 8.992 0
13 13 9.2506 9.2506 0
13 13 9.4925 9.4925 0
14 14 9.7833 9.7833 0
14 14 10.0553 10.0553 0
15 15 10.3744 10.3744 0
15 15 10.6728 10.6728 0
16 16 11.0165 11.0165 0
16 16 11.338 11.338 0
17 17 11.7033 11.7033 0
17 17 12.045 12.045 0
18 18 12.4292 12.4292 0
18 18 12.7886 12.7886 0
19 19 13.1893 13.1893 0
19 19 13.5642 13.5642 0
20 20 13.9794 13.9794 0
19 19 14.3033 14.3033 0
19 19 14.6064 14.6064 0
19 19 14.8898 14.8898 0
19 19 15.155 15.155 0
19 19 15.4031 15.4031 0
19 19 15.6351 15.6351 0
19 19 15.8522 15.8522 0
19 19 16.0553 16.0553 0
19 19 16.2453 16.2453 0
19 19 16.423 16.423 0
19 19 16.5893 16.5893 0
19 19 16.7448 16.7448 0
19 19 16.8903 16.8903 0
19 19 17.0264 17.0264 0
19 19 17.1537 17.1537 0
19 19 17.2728 17.2728 0
19 19 17.3843 17.3843 0
19 19 17.4885 17.4885 0
19 19 17.586 17.586 0
19 19 17.6772 17.6772 0
20 20 17.8271 17.8271 0
19 19 17.9028 17.9028 0
19 19 17.9736 17.9736 0
