flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h2,h45,314,314,20
h20,h39,1199,1199,20
h22,h119,1426,1426,20
h26,h74,1154,1154,20
h29,h128,753,753,20
h3,h10,993,993,20
h4,h117,378,378,20
h6,h56,954,954,20
h7,h65,747,747,20
h8,h70,1341,1341,20
h9,h4,1025,1025,20
h9,h96,1029,1029,20
h10,h124,879,879,19
h11,h46,598,598,19
h14,h46,736,736,19
h16,h48,1036,1036,19
h22,h16,1432,1432,19
h25,h15,1301,1301,19
h27,h48,1089,1089,19
h30,h137,1110,1110,19
h31,h24,1477,1477,19
h31,h40,792,792,19
h4,h78,494,494,19
h6,h69,1403,1403,19
h6,h76,865,865,19
h7,h121,799,799,19
h9,h79,1172,1172,19
h1,h102,695,695,18
h10,h66,343,343,18
h12,h130,866,866,18
h12,h140,473,473,18
h15,h103,39,39,18
h15,h24,1049,1049,18
h23,h141,921,921,18
h25,h107,409,409,18
h27,h109,1463,1463,18
h28,h137,702,702,18
h31,h12,677,677,18
h31,h18,888,888,18
h6,h82,844,844,18
h7,h41,779,779,18
h10,h70,125,125,17
h11,h4,1480,1480,17
h14,h56,1445,1445,17
h14,h60,361,361,17
h15,h9,1317,1317,17
h16,h57,374,374,17
h20,h92,1009,1009,17
h25,h39,991,991,17
h6,h65,1194,1194,17
h7,h78,260,260,17
h8,h92,1139,1139,17
h10,h40,1496,1496,16
h11,h20,208,208,16
h11,h56,172,172,16
h11,h8,1083,1083,16
h12,h7,388,388,16
h13,h143,1111,1111,16
h13,h35,531,531,16
h14,h45,1274,1274,16
h14,h47,1273,1273,16
h20,h110,1063,1063,16
h21,h30,1185,1185,16
h29,h1,366,366,16
h3,h101,1513,1513,16
h30,h6,894,894,16
h5,h29,1491,1491,16
h5,h5,871,871,16
h8,h25,136,136,16
h9,h116,317,317,16
h9,h125,1078,1078,16
h11,h82,355,355,15
h12,h111,1434,1434,15
h13,h93,344,344,15
h14,h55,1300,1300,15
h14,h71,33,33,15
h16,h124,231,231,15
h18,h11,797,797,15
h18,h134,832,832,15
h19,h35,486,486,15
h2,h56,862,862,15
h21,h98,57,57,15
h25,h82,1520,1520,15
h29,h121,1354,1354,15
h29,h83,1044,1044,15
h3,h136,783,783,15
h32,h11,1206,1206,15
h5,h116,1473,1473,15
h5,h4,537,537,15
h7,h35,1087,1087,15
h1,h20,1369,1369,14
h1,h24,765,765,14
h11,h54,1293,1293,14
h11,h68,633,633,14
h12,h83,102,102,14
h13,h62,1280,1280,14
h15,h10,453,453,14
h15,h59,949,949,14
h16,h141,463,463,14
h16,h6,636,636,14
h17,h105,627,627,14
h17,h134,924,924,14
h18,h43,825,825,14
h19,h109,490,490,14
h19,h73,944,944,14
h2,h76,624,624,14
h20,h125,1253,1253,14
h21,h122,25,25,14
h21,h94,1487,1487,14
h27,h97,834,834,14
h30,h88,16,16,14
h4,h133,1288,1288,14
h4,h69,720,720,14
h8,h86,880,880,14
h9,h130,293,293,14
h1,h91,177,177,13
h10,h47,1249,1249,13
h11,h131,1248,1248,13
h11,h84,346,346,13
h14,h106,927,927,13
h14,h13,1187,1187,13
h19,h112,356,356,13
h19,h144,586,586,13
h19,h26,1196,1196,13
h20,h123,678,678,13
h21,h35,933,933,13
h26,h16,1061,1061,13
h26,h2,1321,1321,13
h27,h127,433,433,13
h27,h132,47,47,13
h3,h121,521,521,13
h3,h133,1508,1508,13
h31,h124,227,227,13
h5,h22,1435,1435,13
h6,h111,1257,1257,13
h6,h42,1186,1186,13
h6,h70,593,593,13
h7,h108,424,424,13
h7,h87,340,340,13
h7,h92,239,239,13
h9,h58,664,664,13
h12,h42,1360,1360,12
h13,h32,404,404,12
h13,h57,24,24,12
h13,h97,996,996,12
h14,h105,1499,1499,12
h16,h68,571,571,12
h17,h8,686,686,12
h17,h85,640,640,12
h18,h54,1156,1156,12
h22,h90,337,337,12
h24,h67,1396,1396,12
h25,h60,1387,1387,12
h25,h92,817,817,12
h26,h117,737,737,12
h26,h58,1250,1250,12
h26,h89,1230,1230,12
h27,h138,750,750,12
h27,h40,1247,1247,12
h28,h131,1215,1215,12
h29,h105,1462,1462,12
h3,h32,793,793,12
h3,h5,1303,1303,12
h31,h60,701,701,12
h31,h68,1490,1490,12
h32,h69,1412,1412,12
h4,h2,247,247,12
h7,h100,1469,1469,12
h8,h114,534,534,12
h8,h30,540,540,12
h9,h62,1392,1392,12
h1,h39,742,742,11
h10,h117,1031,1031,11
h10,h70,984,984,11
h11,h3,1284,1284,11
h12,h132,562,562,11
h12,h144,823,823,11
h13,h108,1229,1229,11
h14,h112,945,945,11
h15,h125,616,616,11
h19,h112,171,171,11
h19,h43,853,853,11
h2,h21,770,770,11
h21,h103,804,804,11
h21,h82,391,391,11
h24,h84,1285,1285,11
h26,h30,762,762,11
h27,h45,1479,1479,11
h27,h76,1295,1295,11
h28,h11,1150,1150,11
h3,h34,98,98,11
h30,h23,1174,1174,11
h31,h72,454,454,11
h32,h133,430,430,11
h5,h128,1233,1233,11
h6,h70,1425,1425,11
h7,h105,475,475,11
h7,h58,610,610,11
h7,h90,1346,1346,11
h8,h134,1160,1160,11
h8,h55,1414,1414,11
h8,h73,802,802,11
h1,h126,1171,1171,10
h1,h134,918,918,10
h1,h61,447,447,10
h10,h102,1019,1019,10
h10,h19,1315,1315,10
h10,h94,492,492,10
h11,h120,914,914,10
h11,h144,1411,1411,10
h12,h23,874,874,10
h15,h30,1264,1264,10
h15,h46,322,322,10
h15,h88,1119,1119,10
h15,h97,966,966,10
h16,h127,1010,1010,10
h16,h54,856,856,10
h18,h95,467,467,10
h19,h100,407,407,10
h19,h125,1123,1123,10
h19,h23,719,719,10
h19,h27,460,460,10
h20,h63,394,394,10
h20,h80,852,852,10
h22,h142,620,620,10
h24,h132,838,838,10
h24,h39,298,298,10
h25,h63,1129,1129,10
h26,h48,1079,1079,10
h27,h131,559,559,10
h29,h89,384,384,10
h3,h100,438,438,10
h30,h130,435,435,10
h31,h87,93,93,10
h32,h52,1004,1004,10
h4,h17,1339,1339,10
h4,h92,1002,1002,10
h7,h2,1439,1439,10
h8,h93,1132,1132,10
h9,h22,485,485,10
h9,h92,176,176,10
h1,h70,830,830,9
h10,h31,1047,1047,9
h10,h34,666,666,9
h11,h71,935,935,9
h12,h141,858,858,9
h12,h26,280,280,9
h12,h44,262,262,9
h12,h56,589,589,9
h13,h97,341,341,9
h16,h67,1281,1281,9
h16,h70,646,646,9
h17,h72,1465,1465,9
h17,h79,122,122,9
h18,h98,74,74,9
h19,h143,1242,1242,9
h20,h89,459,459,9
h21,h10,606,606,9
h24,h7,266,266,9
