@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
h1,h9,h1,10050,20050,13,44,2
h1,h9,h1,10050,20050,13,45,2
h1,h9,h1,10050,20050,13,46,2
h1,h9,h1,10050,20050,13,47,2
h1,h9,h1,10050,20050,13,48,2
h2,h10,h2,10052,20052,5,13,2
h2,h10,h2,10052,20052,5,14,2
h2,h10,h2,10052,20052,5,15,2
h2,h10,h2,10052,20052,5,16,2
h2,h10,h2,10052,20052,5,17,2
h2,h10,h2,10052,20052,5,18,2
h2,h10,h2,10052,20052,5,19,2
h2,h10,h2,10052,20052,5,20,2
h2,h10,h2,10052,20052,5,21,2
h2,h10,h2,10052,20052,5,22,2
h2,h10,h2,10052,20052,5,23,2
h2,h10,h2,10052,20052,5,24,2
h2,h10,h2,10052,20052,5,25,2
h2,h10,h2,10052,20052,5,26,2
h2,h10,h2,10052,20052,5,27,2
h2,h10,h2,10052,20052,5,28,2
h2,h10,h2,10052,20052,5,29,2
h2,h10,h2,10052,20052,5,30,2
h2,h10,h2,10052,20052,5,31,2
h2,h10,h2,10052,20052,5,32,2
h2,h10,h2,10052,20052,5,33,2
h2,h10,h2,10052,20052,5,34,2
h2,h10,h2,10052,20052,5,35,2
h2,h10,h2,10052,20052,5,36,2
h2,h10,h2,10052,20052,5,37,2
h2,h10,h2,10052,20052,5,38,2
h2,h10,h2,10052,20052,5,39,2
h2,h10,h2,10052,20052,5,40,2
h2,h10,h2,10052,20052,5,41,2
h2,h10,h2,10052,20052,5,42,2
