reorder_peak,flow_count
51,2
50,2
49,7
48,14
47,3
46,7
45,9
44,5
43,8
42,8
41,9
40,10
39,9
38,9
37,9
36,5
35,10
34,16
33,12
32,9
31,14
30,11
29,15
28,19
27,24
26,24
25,22
24,17
23,22
22,20
21,21
20,23
19,27
18,23
17,32
16,34
15,43
14,46
13,53
12,42
11,49
10,66
9,63
8,58
7,47
6,36
5,29
4,16
3,16
2,16
1,20
0,0
