flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h25,h107,409,409,17
h29,h105,1462,1462,17
h6,h111,1257,1257,17
h7,h17,1413,1413,17
h7,h33,1389,1389,17
h7,h65,431,431,17
h9,h91,496,496,17
h1,h56,497,497,16
h10,h9,1168,1168,16
h11,h15,311,311,16
h11,h2,676,676,16
h14,h112,945,945,16
h15,h28,707,707,16
h2,h22,1361,1361,16
h23,h54,318,318,16
h24,h132,838,838,16
h25,h63,1129,1129,16
h27,h129,1238,1238,16
h28,h17,1326,1326,16
h3,h32,793,793,16
h30,h2,1219,1219,16
h8,h20,728,728,16
h9,h102,1325,1325,16
h1,h61,447,447,15
h10,h127,965,965,15
h10,h63,458,458,15
h11,h103,108,108,15
h11,h26,913,913,15
h11,h4,1480,1480,15
h11,h46,598,598,15
h12,h121,76,76,15
h12,h56,1408,1408,15
h14,h56,1445,1445,15
h15,h68,45,45,15
h16,h57,374,374,15
h2,h139,1225,1225,15
h2,h22,878,878,15
h2,h46,124,124,15
h20,h58,331,331,15
h20,h92,1009,1009,15
h21,h29,1241,1241,15
h22,h131,299,299,15
h27,h40,1247,1247,15
h3,h102,1141,1141,15
h3,h88,755,755,15
h31,h68,1490,1490,15
h32,h133,430,430,15
h6,h65,1194,1194,15
h7,h90,1346,1346,15
h8,h55,1414,1414,15
h11,h117,456,456,14
h11,h62,1322,1322,14
h11,h7,1144,1144,14
h11,h82,355,355,14
h12,h144,823,823,14
h13,h32,404,404,14
h14,h13,1187,1187,14
h16,h48,1036,1036,14
h19,h50,350,350,14
h24,h143,994,994,14
h24,h84,1285,1285,14
h25,h31,387,387,14
h25,h82,216,216,14
h25,h9,1270,1270,14
h27,h70,291,291,14
h27,h97,834,834,14
h28,h131,1215,1215,14
h28,h137,702,702,14
h3,h64,300,300,14
h30,h17,518,518,14
h30,h82,1074,1074,14
h30,h88,16,16,14
h4,h105,253,253,14
h4,h59,145,145,14
h5,h20,800,800,14
h5,h57,507,507,14
