reorder_peak,flow_count
49,1
48,1
47,1
46,2
45,1
44,3
43,1
42,3
41,2
40,6
39,4
38,4
37,5
36,4
35,7
34,6
33,9
32,13
31,6
30,7
29,11
28,10
27,21
26,19
25,19
24,21
23,21
22,28
21,18
20,18
19,24
18,42
17,35
16,44
15,48
14,66
13,76
12,43
11,40
10,30
9,18
8,15
7,10
6,9
5,10
4,10
3,8
2,6
1,3
0,0
