reorder_peak,flow_count
48,1
47,0
46,0
45,0
44,0
43,0
42,0
41,0
40,1
39,1
38,0
37,0
36,0
35,1
34,1
33,1
32,1
31,2
30,3
29,3
28,5
27,3
26,3
25,4
24,5
23,7
22,11
21,5
20,8
19,4
18,14
17,8
16,17
15,17
14,28
13,31
12,27
11,22
10,37
9,41
8,48
7,39
6,32
5,34
4,11
3,4
2,2
1,4
0,0
