queueLength sharedOccupancy averageQueueLength averageOccupancy drop
0 0 0.0 0.0 0
0 1 0.0 0.0645 0
0 2 0.0 0.1894 0
1 3 0.0645 0.3707 0
0 1 0.0604 0.4113 0
1 2 0.121 0.5138 0
0 3 0.1132 0.6742 0
2 4 0.2349 0.8888 0
0 2 0.2197 0.9605 0
2 3 0.3346 1.0921 0
0 4 0.313 1.2797 0
3 5 0.4864 1.5197 0
0 3 0.455 1.6152 0
3 4 0.6192 1.769 0
0 5 0.5792 1.9775 0
4 6 0.7999 2.237 0
0 4 0.7483 2.3508 0
4 5 0.9581 2.5217 0
0 6 0.8963 2.7461 0
5 7 1.1611 3.0205 0
0 5 1.0861 3.1482 0
5 6 1.3387 3.3322 0
0 7 1.2523 3.5689 0
6 8 1.5586 3.8547 0
0 6 1.458 3.9931 0
6 7 1.7511 4.1871 0
0 8 1.6381 4.4331 0
7 9 1.984 4.7278 0
0 7 1.856 4.8744 0
7 8 2.1879 5.076 0
0 9 2.0467 5.3292 0
8 10 2.4308 5.6305 0
0 8 2.274 5.7834 0
8 9 2.6434 5.9909 0
0 10 2.4729 6.2496 0
9 11 2.894 6.556 0
0 9 2.7073 6.7137 0
9 10 3.1132 6.9257 0
0 11 2.9124 7.1886 0
10 12 3.3697 7.499 0
0 10 3.1523 7.6604 0
10 11 3.5941 7.8758 0
0 12 3.3622 8.1419 0
11 13 3.8549 8.4553 0
0 11 3.6062 8.6195 0
11 12 4.0833 8.8376 0
0 13 3.8198 9.1061 0
12 14 4.3476 9.4219 0
0 12 4.0671 9.5882 0
12 13 4.5789 9.8083 0
0 14 4.2835 10.0787 0
13 15 4.8458 10.3962 0
0 13 4.5332 10.5642 0
13 14 5.0794 10.7859 0
0 15 4.7517 11.0578 0
14 16 5.3484 11.3766 0
0 14 5.0033 11.5459 0
14 15 5.5838 11.7687 0
0 16 5.2235 12.0417 0
15 17 5.8543 12.3616 0
0 15 5.4766 12.5318 0
15 16 6.091 12.7556 0
0 17 5.698 13.0294 0
16 18 6.3627 13.3501 0
0 16 5.9522 13.521 0
16 17 6.6004 13.7455 0
0 18 6.1746 14.02 0
17 19 6.873 14.3413 0
0 17 6.4296 14.5128 0
17 18 7.1115 14.7378 0
0 19 6.6527 15.0128 0
18 20 7.3848 15.3345 0
0 18 6.9084 15.5065 0
18 19 7.624 15.7319 0
0 20 7.1321 16.0072 0
19 21 7.8978 16.3294 0
0 19 7.3882 16.5017 0
19 20 8.1374 16.7274 0
0 21 7.6124 17.003 0
20 22 8.4116 17.3254 0
0 20 7.8689 17.4979 0
20 21 8.6516 17.7239 0
0 22 8.0934 17.9998 0
21 23 8.9261 18.3224 0
0 21 8.3502 18.4951 0
21 22 9.1663 18.7212 0
0 23 8.5749 18.9973 0
22 24 9.4411 19.32 0
0 22 8.832 19.4929 0
22 23 9.6815 19.7192 0
0 24 9.0569 19.9954 0
23 25 9.9565 20.3183 0
0 23 9.3141 20.4913 0
23 24 10.1971 20.7176 0
0 25 9.5392 20.9939 0
24 26 10.4721 21.3169 0
0 24 9.7965 21.49 0
24 25 10.7129 21.7165 0
0 26 10.0217 21.9928 0
25 27 10.9881 22.3159 0
0 25 10.2792 22.489 0
25 26 11.2289 22.7155 0
0 27 10.5044 22.992 0
26 28 11.5042 23.3151 0
0 26 10.762 23.4883 0
26 27 11.7451 23.7148 0
0 28 10.9873 23.9913 0
27 29 12.0204 24.3144 0
0 27 11.2449 24.4877 0
27 28 12.2613 24.7143 0
0 29 11.4703 24.9908 0
28 30 12.5367 25.314 0
0 28 11.7279 25.4873 0
28 29 12.7777 25.7139 0
0 30 11.9533 25.9904 0
29 31 13.0531 26.3136 0
0 29 12.211 26.4869 0
29 30 13.2942 26.7136 0
0 31 12.4365 26.9901 0
30 32 13.5696 27.3133 0
0 30 12.6941 27.4867 0
30 31 13.8106 27.7133 0
0 32 12.9196 27.9899 0
31 33 14.0861 28.3131 0
0 31 13.1773 28.4865 0
31 32 14.3272 28.7132 0
0 33 13.4028 28.9897 0
32 34 14.6027 29.313 0
0 32 13.6606 29.4863 0
32 33 14.8437 29.713 0
0 34 13.8861 29.9896 0
33 35 15.1192 30.3128 0
0 33 14.1438 30.4862 0
33 34 15.3603 30.7129 0
0 35 14.3693 30.9895 0
34 36 15.6358 31.3128 0
0 34 14.6271 31.4861 0
34 35 15.8769 31.7128 0
0 36 14.8526 31.9894 0
35 37 16.1525 32.3127 0
0 35 15.1104 32.4861 0
35 36 16.3936 32.7128 0
0 37 15.3359 32.9894 0
36 38 16.6691 33.3126 0
0 36 15.5937 33.486 0
36 37 16.9102 33.7127 0
0 38 15.8192 33.9893 0
37 39 17.1857 34.3126 0
0 37 16.077 34.486 0
37 38 17.4268 34.7127 0
0 39 16.3025 34.9893 0
38 40 17.7024 35.3126 0
0 38 16.5603 35.4859 0
38 39 17.9435 35.7126 0
0 40 16.7858 35.9893 0
39 41 18.219 36.3125 0
0 39 17.0436 36.4859 0
39 40 18.4601 36.7126 0
0 41 17.2692 36.9892 0
40 42 18.7357 37.3125 0
0 40 17.5269 37.4859 0
40 41 18.9768 37.7126 0
0 42 17.7525 37.9892 0
41 43 19.2523 38.3125 0
0 41 18.0102 38.4859 0
41 42 19.4934 38.7126 0
0 43 18.2358 38.9892 0
42 44 19.769 39.3125 0
0 42 18.4936 39.4859 0
42 43 20.0101 39.7126 0
0 44 18.7191 39.9892 0
43 45 20.2856 40.3125 0
0 43 18.9769 40.4859 0
43 44 20.5268 40.7126 0
0 45 19.2025 40.9892 0
44 46 20.8023 41.3125 0
0 44 19.4602 41.4859 0
44 45 21.0434 41.7126 0
0 46 19.6858 41.9892 0
45 47 21.319 42.3125 0
0 45 19.9435 42.4859 0
45 46 21.5601 42.7126 0
0 47 20.1691 42.9892 0
46 48 21.8356 43.3125 0
0 46 20.4269 43.4858 0
46 47 22.0768 43.7126 0
0 48 20.6524 43.9892 0
47 49 22.3523 44.3125 0
0 47 20.9102 44.4858 0
47 48 22.5934 44.7126 0
0 49 21.1358 44.9892 0
48 50 22.869 45.3125 0
0 48 21.3935 45.4858 0
48 49 23.1101 45.7126 0
0 50 21.6191 45.9892 0
49 51 23.3856 46.3125 0
0 49 21.8769 46.4858 0
49 50 23.6267 46.7126 0
0 49 22.1024 46.8601 0
49 50 23.8378 47.0627 0
0 49 22.2998 47.1877 0
49 50 24.0224 47.3691 0
0 49 22.4726 47.4744 0
42 42 23.7324 47.1212 0
41 41 24.8465 46.7263 0
40 40 25.8241 46.2923 0
39 39 26.6742 45.8218 0
38 38 27.4049 45.3172 0
37 37 28.0239 44.7806 0
37 37 28.603 44.2786 0
37 37 29.1448 43.809 0
37 37 29.6515 43.3697 0
37 37 30.1256 42.9588 0
37 37 30.5691 42.5744 0
37 37 30.984 42.2147 0
37 37 31.3722 41.8783 0
37 37 31.7353 41.5636 0
37 37 32.0749 41.2691 0
37 37 32.3927 40.9937 0
37 37 32.6899 40.736 0
37 37 32.968 40.495 0
37 37 33.2281 40.2695 0
37 37 33.4715 40.0586 0
37 37 33.6991 39.8613 0
0 37 31.525 39.6767 0
36 36 31.8137 39.4395 0
0 35 29.7612 39.153 0
35 36 30.0992 38.9496 0
7 7 28.6089 36.8884 0
0 6 26.7632 34.8956 0
6 7 25.4236 33.0958 0
6 6 24.1705 31.3477 0
0 6 22.6111 29.7124 0
6 7 21.5394 28.2471 0
6 6 20.5369 26.8118 0
0 6 19.2119 25.4691 0
6 7 18.3595 24.2775 0
6 6 17.5621 23.0983 0
0 6 16.4291 21.9952 0
6 7 15.7562 21.0278 0
6 6 15.1268 20.0582 0
0 6 14.1509 19.1513 0
6 7 13.625 18.3673 0
6 6 13.1331 17.5694 0
0 7 12.2858 16.8875 0
0 6 11.4932 16.1851 0
6 7 11.1388 15.5925 0
6 6 10.8072 14.9736 0
0 7 10.11 14.4592 0
0 6 9.4577 13.9135 0
6 7 9.2347 13.4674 0
0 6 8.6389 12.9857 0
6 7 8.4686 12.5995 0
0 6 7.9223 12.1737 0
6 7 7.7982 11.8399 0
0 6 7.2951 11.4632 0
6 7 7.2116 11.1752 0
0 6 6.7463 10.8413 0
6 7 6.6982 10.5935 0
0 6 6.266 10.2971 0
6 7 6.2489 10.0844 0
0 6 5.8457 9.8209 0
6 7 5.8557 9.6389 0
0 6 5.4779 9.4042 0
6 7 5.5116 9.249 0
0 6 5.156 9.0394 0
0 5 4.8233 8.7788 0
5 6 4.8347 8.5995 0
0 5 4.5228 8.3673 0
0 4 4.231 8.0856 0
4 5 4.2161 7.8865 0
0 4 3.9441 7.6357 0
0 3 3.6896 7.3367 0
3 4 3.6452 7.1214 0
0 3 3.41 6.8555 0
0 2 3.19 6.5422 0
2 3 3.1132 6.3137 0
0 2 2.9124 6.0354 0
0 1 2.7245 5.7105 0
0 0 2.5487 5.3421 0
0 0 2.3843 4.9975 0
0 0 2.2304 4.675 0
