queueLength sharedOccupancy averageQueueLength averageOccupancy drop
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
1 1 0.0645 0.0645 0
2 2 0.1894 0.1894 0
3 3 0.3707 0.3707 0
4 4 0.6049 0.6049 0
4 4 0.8239 0.8239 0
5 5 1.0933 1.0933 0
6 6 1.4099 1.4099 0
7 7 1.7705 1.7705 0
8 8 2.1724 2.1724 0
8 8 2.5484 2.5484 0
9 9 2.9646 2.9646 0
10 10 3.4185 3.4185 0
11 11 3.9077 3.9077 0
12 12 4.4298 4.4298 0
12 12 4.9182 4.9182 0
13 13 5.4396 5.4396 0
14 14 5.9919 5.9919 0
15 15 6.573 6.573 0
16 16 7.1812 7.1812 0
16 16 7.7502 7.7502 0
17 17 8.3469 8.3469 0
18 18 8.9697 8.9697 0
19 19 9.6168 9.6168 0
20 20 10.2867 10.2867 0
20 20 10.9134 10.9134 0
21 21 11.5641 11.5641 0
22 22 12.2374 12.2374 0
23 23 12.9318 12.9318 0
24 24 13.6458 13.6458 0
24 24 14.3139 14.3139 0
25 25 15.0033 15.0033 0
26 26 15.7127 15.7127 0
27 27 16.441 16.441 0
28 28 17.1867 17.1867 0
28 28 17.8843 17.8843 0
29 29 18.6015 18.6015 0
30 30 19.3369 19.3369 0
31 31 20.0893 20.0893 0
32 32 20.8578 20.8578 0
32 32 21.5766 21.5766 0
33 33 22.3136 22.3136 0
34 34 23.0676 23.0676 0
35 35 23.8374 23.8374 0
36 36 24.6221 24.6221 0
36 36 25.3561 25.3561 0
37 37 26.1074 26.1074 0
38 38 26.8746 26.8746 0
39 39 27.6569 27.6569 0
40 40 28.4532 28.4532 0
40 40 29.1982 29.1982 0
40 40 29.8951 29.8951 0
40 40 30.547 30.547 0
40 40 31.1569 31.1569 0
40 40 31.7274 31.7274 0
40 40 32.2611 32.2611 0
40 40 32.7604 32.7604 0
40 40 33.2275 33.2275 0
40 40 33.6644 33.6644 0
40 40 34.0732 34.0732 0
40 40 34.4555 34.4555 0
40 40 34.8132 34.8132 0
40 40 35.1479 35.1479 0
40 40 35.4609 35.4609 0
40 40 35.7538 35.7538 0
40 40 36.0277 36.0277 0
40 40 36.284 36.284 0
40 40 36.5237 36.5237 0
40 40 36.748 36.748 0
40 40 36.9578 36.9578 0
0 0 34.5734 34.5734 0
0 0 32.3429 32.3429 0
0 0 30.2563 30.2563 0
0 0 28.3042 28.3042 0
0 0 26.4782 26.4782 0
0 0 24.7699 24.7699 0
0 0 23.1718 23.1718 0
0 0 21.6769 21.6769 0
0 0 20.2784 20.2784 0
0 0 18.9701 18.9701 0
0 0 17.7462 17.7462 0
0 0 16.6013 16.6013 0
0 0 15.5302 15.5302 0
0 0 14.5283 14.5283 0
0 0 13.591 13.591 0
0 0 12.7141 12.7141 0
0 0 11.8939 11.8939 0
0 0 11.1265 11.1265 0
0 0 10.4087 10.4087 0
0 0 9.7372 9.7372 0
0 0 9.109 9.109 0
0 0 8.5213 8.5213 0
0 0 7.9715 7.9715 0
0 0 7.4572 7.4572 0
0 0 6.9761 6.9761 0
0 0 6.526 6.526 0
0 0 6.105 6.105 0
0 0 5.7111 5.7111 0
0 0 5.3427 5.3427 0
0 0 4.998 4.998 0
0 0 4.6755 4.6755 0
0 0 4.3739 4.3739 0
0 0 4.0917 4.0917 0
0 0 3.8277 3.8277 0
0 0 3.5808 3.5808 0
0 0 3.3498 3.3498 0
0 0 3.1336 3.1336 0
0 0 2.9315 2.9315 0
0 0 2.7423 2.7423 0
0 0 2.5654 2.5654 0
0 0 2.3999 2.3999 0
0 0 2.2451 2.2451 0
0 0 2.1002 2.1002 0
0 0 1.9647 1.9647 0
0 0 1.838 1.838 0
0 0 1.7194 1.7194 0
0 0 1.6085 1.6085 0
0 0 1.5047 1.5047 0
0 0 1.4076 1.4076 0
0 0 1.3168 1.3168 0
0 0 1.2318 1.2318 0
0 0 1.1524 1.1524 0
0 0 1.078 1.078 0
0 0 1.0085 1.0085 0
0 0 0.9434 0.9434 0
0 0 0.8825 0.8825 0
0 0 0.8256 0.8256 0
0 0 0.7723 0.7723 0
0 0 0.7225 0.7225 0
0 0 0.6759 0.6759 0
0 0 0.6323 0.6323 0
0 0 0.5915 0.5915 0
0 0 0.5533 0.5533 0
0 0 0.5176 0.5176 0
0 0 0.4842 0.4842 0
0 0 0.453 0.453 0
0 0 0.4238 0.4238 0
0 0 0.3964 0.3964 0
0 0 0.3709 0.3709 0
0 0 0.3469 0.3469 0
0 0 0.3246 0.3246 0
0 0 0.3036 0.3036 0
0 0 0.284 0.284 0
0 0 0.2657 0.2657 0
0 0 0.2486 0.2486 0
0 0 0.2325 0.2325 0
0 0 0.2175 0.2175 0
0 0 0.2035 0.2035 0
0 0 0.1904 0.1904 0
0 0 0.1781 0.1781 0
0 0 0.1666 0.1666 0
0 0 0.1558 0.1558 0
