queueLength sharedOccupancy averageQueueLength averageOccupancy drop
0 0 0.0 0.0 0
0 1 0.0 0.0645 0
0 2 0.0 0.1894 0
1 3 0.0645 0.3707 0
1 1 0.1249 0.4113 0
0 2 0.1168 0.5138 0
0 3 0.1093 0.6742 0
2 4 0.2313 0.8888 0
2 2 0.3454 0.9605 0
0 3 0.3231 1.0921 0
0 4 0.3022 1.2797 0
3 5 0.4763 1.5197 0
3 3 0.6391 1.6152 0
0 4 0.5979 1.769 0
0 5 0.5593 1.9775 0
4 6 0.7813 2.237 0
4 4 0.9889 2.3508 0
0 5 0.9251 2.5217 0
0 6 0.8655 2.7461 0
5 7 1.1322 3.0205 0
5 5 1.3817 3.1482 0
0 6 1.2926 3.3322 0
0 7 1.2092 3.5689 0
6 8 1.5183 3.8547 0
6 6 1.8074 3.9931 0
0 7 1.6908 4.1871 0
0 8 1.5817 4.4331 0
7 9 1.9313 4.7278 0
7 7 2.2583 4.8744 0
0 8 2.1126 5.076 0
0 9 1.9763 5.3292 0
8 10 2.3649 5.6305 0
8 8 2.7285 5.7834 0
0 9 2.5525 5.9909 0
0 10 2.3878 6.2496 0
9 11 2.8144 6.556 0
9 9 3.2135 6.7137 0
0 10 3.0061 6.9257 0
0 11 2.8122 7.1886 0
10 12 3.2759 7.499 0
10 10 3.7097 7.6604 0
0 11 3.4704 7.8758 0
0 12 3.2465 8.1419 0
11 13 3.7467 8.4553 0
11 11 4.2147 8.6195 0
0 12 3.9428 8.8376 0
0 13 3.6884 9.1061 0
12 14 4.2246 9.4219 0
12 12 4.7263 9.5882 0
0 13 4.4213 9.8083 0
0 14 4.1361 10.0787 0
13 15 4.708 10.3962 0
13 13 5.2429 10.5642 0
0 14 4.9047 10.7859 0
0 15 4.5882 11.0578 0
14 16 5.1955 11.3766 0
14 14 5.7635 11.5459 0
0 15 5.3917 11.7687 0
0 16 5.0438 12.0417 0
15 17 5.6861 12.3616 0
15 15 6.287 12.5318 0
0 16 5.8814 12.7556 0
0 17 5.502 13.0294 0
16 18 6.1793 13.3501 0
16 16 6.8129 13.521 0
0 17 6.3733 13.7455 0
0 18 5.9621 14.02 0
17 19 6.6743 14.3413 0
17 17 7.3404 14.5128 0
0 18 6.8669 14.7378 0
0 19 6.4238 15.0128 0
18 20 7.1707 15.3345 0
18 18 7.8694 15.5065 0
0 19 7.3617 15.7319 0
0 20 6.8867 16.0072 0
19 21 7.6682 16.3294 0
19 19 8.3993 16.5017 0
0 20 7.8574 16.7274 0
0 21 7.3505 17.003 0
20 22 8.1666 17.3254 0
20 20 8.93 17.4979 0
0 21 8.3539 17.7239 0
0 22 7.8149 17.9998 0
21 23 8.6656 18.3224 0
21 21 9.4613 18.4951 0
0 22 8.8509 18.7212 0
0 23 8.2799 18.9973 0
22 24 9.1651 19.32 0
22 22 9.9931 19.4929 0
0 23 9.3484 19.7192 0
0 24 8.7453 19.9954 0
23 25 9.665 20.3183 0
23 23 10.5253 20.4913 0
0 24 9.8462 20.7176 0
0 25 9.211 20.9939 0
24 26 10.1651 21.3169 0
24 24 11.0577 21.49 0
0 25 10.3443 21.7165 0
0 26 9.6769 21.9928 0
25 27 10.6655 22.3159 0
25 25 11.5903 22.489 0
0 26 10.8425 22.7155 0
0 27 10.143 22.992 0
26 28 11.1661 23.3151 0
26 26 12.1231 23.4883 0
0 27 11.341 23.7148 0
0 28 10.6093 23.9913 0
27 29 11.6667 24.3144 0
27 27 12.656 24.4877 0
0 28 11.8395 24.7143 0
0 29 11.0756 24.9908 0
28 30 12.1675 25.314 0
28 28 13.189 25.4873 0
0 29 12.3381 25.7139 0
0 30 11.5421 25.9904 0
29 31 12.6684 26.3136 0
29 29 13.722 26.4869 0
0 30 12.8367 26.7136 0
0 31 12.0086 26.9901 0
30 32 13.1693 27.3133 0
30 30 14.2552 27.4867 0
0 31 13.3355 27.7133 0
0 32 12.4751 27.9899 0
31 33 13.6703 28.3131 0
31 31 14.7883 28.4865 0
0 32 13.8342 28.7132 0
0 33 12.9417 28.9897 0
32 34 14.1713 29.313 0
32 32 15.3215 29.4863 0
0 33 14.333 29.713 0
0 34 13.4083 29.9896 0
33 35 14.6723 30.3128 0
33 33 15.8547 30.4862 0
0 34 14.8318 30.7129 0
0 35 13.8749 30.9895 0
34 36 15.1733 31.3128 0
34 34 16.388 31.4861 0
0 35 15.3307 31.7128 0
0 36 14.3416 31.9894 0
35 37 15.6744 32.3127 0
35 35 16.9212 32.4861 0
0 36 15.8295 32.7128 0
0 37 14.8083 32.9894 0
36 38 16.1755 33.3126 0
36 36 17.4545 33.486 0
0 37 16.3284 33.7127 0
0 38 15.2749 33.9893 0
37 39 16.6766 34.3126 0
37 37 17.9877 34.486 0
0 38 16.8272 34.7127 0
0 39 15.7416 34.9893 0
38 40 17.1776 35.3126 0
38 38 18.521 35.4859 0
0 39 17.3261 35.7126 0
0 40 16.2083 35.9893 0
39 41 17.6787 36.3125 0
39 39 19.0543 36.4859 0
0 40 17.825 36.7126 0
0 41 16.675 36.9892 0
40 42 18.1798 37.3125 0
40 40 19.5876 37.4859 0
0 41 18.3239 37.7126 0
0 42 17.1417 37.9892 0
41 43 18.6809 38.3125 0
41 41 20.1209 38.4859 0
0 42 18.8227 38.7126 0
0 43 17.6084 38.9892 0
42 44 19.182 39.3125 0
42 42 20.6542 39.4859 0
0 43 19.3216 39.7126 0
0 44 18.0751 39.9892 0
43 45 19.6831 40.3125 0
43 43 21.1874 40.4859 0
0 44 19.8205 40.7126 0
0 45 18.5418 40.9892 0
44 46 20.1842 41.3125 0
44 44 21.7207 41.4859 0
0 45 20.3194 41.7126 0
0 46 19.0085 41.9892 0
45 47 20.6853 42.3125 0
45 45 22.254 42.4859 0
0 46 20.8183 42.7126 0
0 47 19.4752 42.9892 0
46 48 21.1865 43.3125 0
46 46 22.7873 43.4858 0
0 47 21.3172 43.7126 0
0 48 19.9419 43.9892 0
47 49 21.6876 44.3125 0
47 47 23.3206 44.4858 0
0 48 21.8161 44.7126 0
0 49 20.4086 44.9892 0
48 50 22.1887 45.3125 0
48 48 23.8539 45.4858 0
0 49 22.315 45.7126 0
0 50 20.8753 45.9892 0
0 48 19.5285 46.1189 0
0 49 18.2686 46.3048 0
0 47 17.09 46.3496 0
0 48 15.9874 46.4561 0
0 46 14.9559 46.4267 0
0 47 13.991 46.4637 0
0 45 13.0884 46.3692 0
0 46 12.244 46.3454 0
45 47 14.3573 46.3876 0
0 24 13.431 44.9433 0
0 21 12.5645 43.3986 0
0 20 11.7539 41.889 0
0 18 10.9956 40.3477 0
0 15 10.2862 38.7124 0
0 14 9.6225 37.1181 0
0 12 9.0017 35.4975 0
0 9 8.421 33.788 0
0 8 7.8777 32.1243 0
0 0 7.3694 30.0517 0
0 0 6.894 28.1129 0
0 0 6.4492 26.2992 0
0 0 6.0331 24.6025 0
0 0 5.6439 23.0152 0
0 0 5.2798 21.5304 0
0 0 4.9392 20.1413 0
0 0 4.6205 18.8419 0
0 0 4.3224 17.6263 0
0 0 4.0435 16.4891 0
0 0 3.7827 15.4253 0
0 0 3.5386 14.4301 0
0 0 3.3103 13.4991 0
0 0 3.0968 12.6282 0
0 0 2.897 11.8135 0
0 0 2.7101 11.0513 0
0 0 2.5352 10.3383 0
0 0 2.3717 9.6713 0
0 0 2.2186 9.0474 0
0 0 2.0755 8.4637 0
0 0 1.9416 7.9176 0
0 0 1.8163 7.4068 0
0 0 1.6992 6.929 0
0 0 1.5895 6.4819 0
0 0 1.487 6.0637 0
0 0 1.391 5.6725 0
0 0 1.3013 5.3066 0
0 0 1.2173 4.9642 0
0 0 1.1388 4.6439 0
0 0 1.0653 4.3443 0
0 0 0.9966 4.064 0
0 0 0.9323 3.8019 0
0 0 0.8722 3.5566 0
1 1 0.8804 3.3916 0
1 1 0.8881 3.2373 0
1 1 0.8953 3.093 0
1 1 0.9021 2.958 0
1 1 0.9084 2.8316 0
1 1 0.9143 2.7135 0
1 1 0.9198 2.6029 0
1 1 0.925 2.4995 0
1 1 0.9299 2.4028 0
1 1 0.9344 2.3123 0
1 1 0.9386 2.2276 0
1 1 0.9426 2.1484 0
1 1 0.9463 2.0743 0
1 1 0.9497 2.005 0
1 1 0.953 1.9402 0
1 1 0.956 1.8795 0
2 2 1.0234 1.8873 0
2 2 1.0864 1.8946 0
2 2 1.1453 1.9014 0
2 2 1.2005 1.9077 0
2 2 1.252 1.9137 0
2 2 1.3003 1.9192 0
2 2 1.3454 1.9245 0
2 2 1.3877 1.9293 0
2 2 1.4272 1.9339 0
2 2 1.4641 1.9382 0
2 2 1.4987 1.9421 0
2 2 1.531 1.9459 0
2 2 1.5613 1.9494 0
2 2 1.5896 1.9526 0
3 3 1.6806 2.0202 0
3 3 1.7657 2.0834 0
3 3 1.8454 2.1426 0
3 3 1.9198 2.1979 0
3 3 1.9895 2.2496 0
3 3 2.0547 2.298 0
