src,dst,sport,dport,flowsize,start,fct_abm,fct_obm,delta_abs,delta_pct,worse_algo
73,24,1024,1024,6,13357,74,70,4,5.71,ABM
18,31,197,197,15,2213,56,53,3,5.66,ABM
129,3,282,282,25,3122,142,135,7,5.19,ABM
119,28,209,209,51,2428,228,217,11,5.07,ABM
127,27,1066,1066,69,13841,295,281,14,4.98,ABM
99,12,428,428,9,5188,87,83,4,4.82,ABM
95,5,64,64,50,747,110,105,5,4.76,ABM
2,24,560,560,47,7025,318,304,14,4.61,ABM
77,30,423,423,33,5061,189,181,8,4.42,ABM
132,28,242,242,13,2789,71,68,3,4.41,ABM
26,28,464,464,6,5684,26,25,1,4.0,ABM
93,8,138,138,39,1655,211,203,8,3.94,ABM
102,31,273,273,6,3025,53,51,2,3.92,ABM
114,22,1437,1437,18,18801,90,87,3,3.45,ABM
108,24,154,154,6,1809,32,31,1,3.23,ABM
93,24,244,244,6,2794,35,34,1,2.94,ABM
57,20,189,189,12,2127,70,68,2,2.94,ABM
25,5,466,466,6,5746,37,36,1,2.78,ABM
52,23,78,78,6,967,38,37,1,2.7,ABM
79,17,349,349,15,3963,77,75,2,2.67,ABM
75,8,1277,1277,10,16514,1092,1064,28,2.63,ABM
66,16,525,525,17,6649,78,76,2,2.63,ABM
128,17,105,105,6,1321,39,38,1,2.63,ABM
47,2,215,215,6,2508,39,38,1,2.63,ABM
54,1,126,126,6,1507,39,38,1,2.63,ABM
92,9,176,176,27,1978,169,165,4,2.42,ABM
144,15,931,931,18,12211,85,83,2,2.41,ABM
140,20,339,339,6,3800,43,42,1,2.38,ABM
8,8,92,92,18,1162,45,44,1,2.27,ABM
3,6,186,186,33,2088,110,108,2,1.85,ABM
115,1,66,66,39,784,111,109,2,1.83,ABM
51,18,1404,1404,45,18239,337,331,6,1.81,ABM
63,29,810,810,10,10521,59,58,1,1.72,ABM
67,27,167,167,21,1918,63,62,1,1.61,ABM
121,24,306,306,28,3398,133,131,2,1.53,ABM
131,25,1046,1046,14,13646,140,138,2,1.45,ABM
109,31,992,992,29,13013,242,239,3,1.26,ABM
120,28,212,212,32,2455,178,176,2,1.14,ABM
37,24,60,60,83,709,201,199,2,1.01,ABM
109,32,117,117,41,1440,103,102,1,0.98,ABM
141,30,513,513,16,6392,107,106,1,0.94,ABM
105,30,495,495,39,6227,224,222,2,0.9,ABM
62,9,1392,1392,28,18072,1168,1158,10,0.86,ABM
44,13,450,450,25,5509,176,175,1,0.57,ABM
31,27,413,413,83,4929,245,244,1,0.41,ABM
104,14,1209,1209,16,15854,1076,1074,2,0.19,ABM
