src,dst,sport,dport,flowsize,start,fct_abm,fct_obm,delta_abs,delta_pct,worse_algo
41,26,957,957,38,12569,144,330,-186,129.17,OBM
101,31,1121,1121,6,14634,35,79,-44,125.71,OBM
128,3,1152,1152,22,15017,94,212,-118,125.53,OBM
30,22,1493,1493,14,19484,32,72,-40,125.0,OBM
141,23,921,921,50,12067,108,243,-135,125.0,OBM
132,29,541,541,50,6819,165,371,-206,124.85,OBM
76,2,1500,1500,16,19609,65,146,-81,124.62,OBM
114,16,1221,1221,36,15975,99,221,-122,123.23,OBM
116,17,1457,1457,19,19059,74,165,-91,122.97,OBM
47,10,1138,1138,15,14905,81,180,-99,122.22,OBM
40,13,515,515,6,6463,38,84,-46,121.05,OBM
78,19,1197,1197,38,15751,179,393,-214,119.55,OBM
71,20,1328,1328,6,17276,36,79,-43,119.44,OBM
81,9,277,277,38,3079,139,305,-166,119.42,OBM
62,12,583,583,42,7439,205,448,-243,118.54,OBM
107,32,1336,1336,6,17399,38,83,-45,118.42,OBM
103,3,1289,1289,6,16694,44,96,-52,118.18,OBM
40,12,1340,1340,7,17446,56,122,-66,117.86,OBM
139,4,703,703,13,8824,59,127,-68,115.25,OBM
81,4,903,903,6,11837,49,105,-56,114.29,OBM
115,19,1069,1069,24,13867,143,306,-163,113.99,OBM
70,26,1262,1262,32,16360,104,220,-116,111.54,OBM
29,12,1338,1338,35,17423,137,288,-151,110.22,OBM
116,21,1006,1006,6,13171,31,65,-34,109.68,OBM
8,17,686,686,43,8622,107,223,-116,108.41,OBM
48,30,1261,1261,16,16348,72,150,-78,108.33,OBM
143,19,1242,1242,80,16161,1485,3085,-1600,107.74,OBM
69,16,1042,1042,29,13598,131,270,-139,106.11,OBM
55,26,796,796,36,10369,115,236,-121,105.22,OBM
81,7,706,706,6,8865,39,80,-41,105.13,OBM
28,5,1180,1180,35,15431,133,272,-139,104.51,OBM
56,15,722,722,13,9227,68,139,-71,104.41,OBM
32,28,1014,1014,69,13276,226,460,-234,103.54,OBM
37,9,680,680,6,8558,56,113,-57,101.79,OBM
127,10,829,829,27,10830,74,149,-75,101.35,OBM
25,17,1476,1476,9,19308,31,62,-31,100.0,OBM
114,2,1291,1291,74,16728,1546,3071,-1525,98.64,OBM
124,10,879,879,34,11449,87,172,-85,97.7,OBM
102,25,1458,1458,6,19069,37,73,-36,97.3,OBM
82,25,1520,1520,51,19972,187,366,-179,95.72,OBM
56,11,843,843,52,10942,339,657,-318,93.81,OBM
63,26,976,976,6,12837,37,71,-34,91.89,OBM
9,27,936,936,63,12254,240,460,-220,91.67,OBM
90,26,555,555,31,6959,92,176,-84,91.3,OBM
69,28,1468,1468,11,19178,43,82,-39,90.7,OBM
64,4,934,934,6,12226,53,101,-48,90.57,OBM
95,7,1099,1099,43,14354,177,334,-157,88.7,OBM
110,7,715,715,6,9034,35,66,-31,88.57,OBM
112,30,1097,1097,6,14344,34,64,-30,88.24,OBM
38,23,1161,1161,38,15150,100,188,-88,88.0,OBM
118,20,705,705,53,8831,167,311,-144,86.23,OBM
141,32,278,278,69,3081,130,242,-112,86.15,OBM
124,13,1365,1365,17,17675,113,210,-97,85.84,OBM
32,9,873,873,6,11375,54,100,-46,85.19,OBM
19,23,1136,1136,15,14896,43,79,-36,83.72,OBM
50,23,1318,1318,14,17092,70,128,-58,82.86,OBM
66,2,1359,1359,6,17596,40,73,-33,82.5,OBM
67,13,748,748,18,9611,74,135,-61,82.43,OBM
30,31,1516,1516,6,19890,27,49,-22,81.48,OBM
11,32,1299,1299,6,16803,51,92,-41,80.39,OBM
110,27,710,710,39,8897,101,182,-81,80.2,OBM
139,8,575,575,26,7315,80,144,-64,80.0,OBM
61,13,1220,1220,6,15940,40,72,-32,80.0,OBM
49,30,590,590,6,7498,49,88,-39,79.59,OBM
11,31,721,721,49,9163,232,415,-183,78.88,OBM
104,27,938,938,17,12290,79,141,-62,78.48,OBM
139,6,1350,1350,17,17489,83,148,-65,78.31,OBM
87,25,1410,1410,23,18377,127,226,-99,77.95,OBM
8,6,877,877,6,11447,17,30,-13,76.47,OBM
58,26,1250,1250,41,16218,168,296,-128,76.19,OBM
93,16,1137,1137,13,14897,58,102,-44,75.86,OBM
37,16,1351,1351,23,17510,100,175,-75,75.0,OBM
96,9,294,294,16,3240,87,152,-65,74.71,OBM
43,11,658,658,16,8286,83,145,-62,74.7,OBM
37,1,1319,1319,6,17103,39,68,-29,74.36,OBM
38,23,928,928,6,12172,31,54,-23,74.19,OBM
141,16,1429,1429,17,18751,69,120,-51,73.91,OBM
35,18,597,597,6,7612,37,64,-27,72.97,OBM
46,27,1228,1228,6,16009,37,64,-27,72.97,OBM
106,7,617,617,18,7772,105,181,-76,72.38,OBM
143,10,290,290,28,3214,75,129,-54,72.0,OBM
135,11,1501,1501,6,19647,35,60,-25,71.43,OBM
74,26,1154,1154,35,15053,80,137,-57,71.25,OBM
23,23,1164,1164,15,15196,48,82,-34,70.83,OBM
11,18,797,797,36,10389,137,234,-97,70.8,OBM
100,7,383,383,25,4366,86,146,-60,69.77,OBM
86,10,1203,1203,14,15798,76,129,-53,69.74,OBM
48,2,1355,1355,6,17530,33,56,-23,69.7,OBM
5,27,795,795,6,10355,38,64,-26,68.42,OBM
24,3,668,668,6,8398,34,57,-23,67.65,OBM
110,16,876,876,28,11420,117,195,-78,66.67,OBM
140,30,850,850,6,11137,36,60,-24,66.67,OBM
135,26,539,539,6,6800,30,50,-20,66.67,OBM
48,17,1145,1145,16,14952,91,151,-60,65.93,OBM
38,14,784,784,6,10169,41,68,-27,65.85,OBM
17,21,645,645,6,8113,26,43,-17,65.38,OBM
57,9,895,895,6,11668,43,71,-28,65.12,OBM
136,3,783,783,51,10131,256,422,-166,64.84,OBM
17,27,806,806,9,10500,31,51,-20,64.52,OBM
119,26,656,656,6,8251,36,59,-23,63.89,OBM
107,14,1178,1178,6,15368,33,54,-21,63.64,OBM
118,21,953,953,8,12518,45,73,-28,62.22,OBM
42,30,556,556,39,6961,193,312,-119,61.66,OBM
115,29,1395,1395,6,18136,39,63,-24,61.54,OBM
89,16,1503,1503,6,19696,57,92,-35,61.4,OBM
50,19,350,350,42,3964,106,171,-65,61.32,OBM
90,2,1034,1034,39,13502,187,301,-114,60.96,OBM
4,23,1420,1420,6,18585,46,74,-28,60.87,OBM
123,7,1038,1038,16,13542,91,146,-55,60.44,OBM
75,4,1071,1071,6,13881,48,77,-29,60.42,OBM
108,13,1229,1229,32,16014,151,242,-91,60.26,OBM
15,5,821,821,30,10703,105,167,-62,59.05,OBM
114,6,975,975,6,12781,39,62,-23,58.97,OBM
23,10,591,591,6,7512,34,54,-20,58.82,OBM
20,31,99,99,6,1282,17,27,-10,58.82,OBM
77,6,892,892,39,11652,160,254,-94,58.75,OBM
75,21,546,546,6,6854,29,46,-17,58.62,OBM
137,21,759,759,31,9769,137,217,-80,58.39,OBM
28,32,659,659,45,8299,258,405,-147,56.98,OBM
8,16,609,609,47,7707,120,188,-68,56.67,OBM
111,12,1434,1434,18,18795,84,131,-47,55.95,OBM
22,23,776,776,16,10035,56,87,-31,55.36,OBM
114,32,1082,1082,18,14066,55,85,-30,54.55,OBM
91,13,689,689,12,8659,68,105,-37,54.41,OBM
122,3,221,221,6,2547,46,71,-25,54.35,OBM
27,18,207,207,17,2384,35,54,-19,54.29,OBM
90,8,584,584,18,7443,67,103,-36,53.73,OBM
91,19,940,940,6,12345,41,63,-22,53.66,OBM
103,8,768,768,6,9948,71,109,-38,53.52,OBM
69,9,336,336,16,3773,108,165,-57,52.78,OBM
53,30,596,596,14,7596,76,116,-40,52.63,OBM
122,20,1444,1444,14,18880,65,99,-34,52.31,OBM
98,23,1151,1151,14,14990,44,67,-23,52.27,OBM
69,29,899,899,50,11734,209,318,-109,52.15,OBM
89,8,211,211,6,2449,43,65,-22,51.16,OBM
93,3,1517,1517,6,19899,45,68,-23,51.11,OBM
67,16,1281,1281,17,16534,83,125,-42,50.6,OBM
69,5,307,307,98,3406,309,464,-155,50.16,OBM
81,5,365,365,18,4115,58,87,-29,50.0,OBM
122,19,1158,1158,18,15130,116,173,-57,49.14,OBM
65,12,782,782,6,10122,39,58,-19,48.72,OBM
66,27,1347,1347,42,17480,154,229,-75,48.7,OBM
1,2,1272,1272,88,16467,1217,1799,-582,47.82,OBM
4,5,537,537,34,6779,149,220,-71,47.65,OBM
28,2,896,896,17,11676,82,121,-39,47.56,OBM
12,10,552,552,6,6923,19,28,-9,47.37,OBM
104,5,1237,1237,6,16116,53,78,-25,47.17,OBM
29,27,1268,1268,7,16444,17,25,-8,47.06,OBM
7,11,1144,1144,17,14945,58,85,-27,46.55,OBM
93,24,1489,1489,18,19466,80,117,-37,46.25,OBM
10,12,100,100,49,1282,130,190,-60,46.15,OBM
131,18,897,897,6,11687,39,57,-18,46.15,OBM
105,16,566,566,6,7131,31,45,-14,45.16,OBM
