src,dst,sport,dport,flowsize,start,fct_abm,fct_obm,delta_abs,delta_pct,worse_algo
80,2,1039,1039,15,13557,115,159,-44,38.26,OBM
71,4,17,17,27,229,53,53,0,0.0,tie
113,21,979,979,6,12855,46,59,-13,28.26,OBM
57,13,1205,1205,6,15816,50,64,-14,28.0,OBM
46,31,1224,1224,14,15990,59,1061,-1002,1698.31,OBM
19,23,1136,1136,15,14896,43,79,-36,83.72,OBM
10,12,100,100,49,1282,130,190,-60,46.15,OBM
69,5,307,307,98,3406,309,464,-155,50.16,OBM
103,8,768,768,6,9948,71,109,-38,53.52,OBM
82,25,1520,1520,51,19972,187,366,-179,95.72,OBM
120,29,1386,1386,34,17989,3305,172,3133,1821.51,ABM
7,11,1144,1144,17,14945,58,85,-27,46.55,OBM
131,18,897,897,6,11687,39,57,-18,46.15,OBM
76,8,1,1,19,3,41,41,0,0.0,tie
139,4,703,703,13,8824,59,127,-68,115.25,OBM
103,3,1289,1289,6,16694,44,96,-52,118.18,OBM
137,22,594,594,19,7578,1069,150,919,612.67,ABM
120,22,1096,1096,86,14336,2423,330,2093,634.24,ABM
125,7,869,869,15,11355,133,104,29,27.88,ABM
129,17,573,573,6,7259,36,46,-10,27.78,OBM
110,1,191,191,37,2136,127,91,36,39.56,ABM
3,5,1131,1131,55,14863,83,2363,-2280,2746.99,OBM
21,8,309,309,38,3430,238,218,20,9.17,ABM
53,5,1090,1090,39,14253,187,1340,-1153,616.58,OBM
143,10,290,290,28,3214,75,129,-54,72.0,OBM
66,1,1373,1373,6,17772,51,1034,-983,1927.45,OBM
10,10,483,483,17,6003,68,63,5,7.94,ABM
13,28,711,711,29,8922,1135,122,1013,830.33,ABM
5,1,237,237,69,2688,282,170,112,65.88,ABM
93,8,138,138,39,1655,211,203,8,3.94,ABM
143,19,1242,1242,80,16161,1485,3085,-1600,107.74,OBM
139,8,575,575,26,7315,80,144,-64,80.0,OBM
16,22,1432,1432,47,18768,1323,369,954,258.54,ABM
57,19,623,623,43,7792,331,403,-72,21.75,OBM
64,12,119,119,18,1457,60,75,-15,25.0,OBM
93,16,1137,1137,13,14897,58,102,-44,75.86,OBM
3,11,1284,1284,26,16584,48,179,-131,272.92,OBM
69,9,508,508,11,6345,39,124,-85,217.95,OBM
25,6,19,19,6,264,28,28,0,0.0,tie
14,24,286,286,32,3178,1131,153,978,639.22,ABM
85,25,582,582,6,7437,44,57,-13,29.55,OBM
30,21,1185,1185,42,15575,1279,182,1097,602.75,ABM
91,13,689,689,12,8659,68,105,-37,54.41,OBM
122,3,221,221,6,2547,46,71,-25,54.35,OBM
13,14,1187,1187,48,15608,162,147,15,10.2,ABM
43,31,746,746,11,9588,94,1050,-956,1017.02,OBM
65,8,54,54,18,654,62,62,0,0.0,tie
140,20,339,339,6,3800,43,42,1,2.38,ABM
116,5,533,533,13,6700,90,106,-16,17.78,OBM
65,5,147,147,31,1745,118,108,10,9.26,ABM
130,28,10,10,30,163,56,56,0,0.0,tie
16,19,468,468,21,5758,1073,1180,-107,9.97,OBM
130,30,723,723,40,9235,195,233,-38,19.49,OBM
85,13,943,943,96,12445,2696,3210,-514,19.07,OBM
99,28,851,851,18,11143,70,92,-22,31.43,OBM
52,17,1310,1310,6,16954,35,41,-6,17.14,OBM
64,12,315,315,14,3509,75,62,13,20.97,ABM
41,26,957,957,38,12569,144,330,-186,129.17,OBM
53,11,1104,1104,6,14440,1033,124,909,733.06,ABM
55,25,1060,1060,46,13727,194,451,-257,132.47,OBM
30,15,1264,1264,53,16376,231,241,-10,4.33,OBM
115,1,66,66,39,784,111,109,2,1.83,ABM
46,28,519,519,14,6515,63,53,10,18.87,ABM
49,19,563,563,45,7050,320,394,-74,23.12,OBM
21,8,257,257,94,2960,369,419,-50,13.55,OBM
23,26,422,422,6,5053,19,19,0,0.0,tie
87,12,622,622,17,7788,1071,106,965,910.38,ABM
29,9,109,109,25,1389,69,95,-26,37.68,OBM
40,6,479,479,12,5953,57,57,0,0.0,tie
138,1,1510,1510,94,19771,376,383,-7,1.86,OBM
70,16,646,646,82,8125,2402,509,1893,371.91,ABM
