reorder_peak,flow_count
43,1
42,0
41,1
40,0
39,1
38,5
37,1
36,1
35,4
34,5
33,2
32,5
31,2
30,5
29,8
28,10
27,6
26,12
25,10
24,10
23,15
22,6
21,14
20,14
19,16
18,22
17,20
16,16
15,21
14,17
13,32
12,40
11,60
10,68
9,69
8,81
7,76
6,43
5,28
4,17
3,11
2,6
1,6
0,0
